filepath,status,reason,score,matched_groups,matched_group_count
./PDF-files/Wirtschaftsingenieurwesen/347_26.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/2_27-04-2023 wirtschaftsingenieurwesen-industrie-40.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/339_25.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/462_06.06.2023 Wirtschaftsingenieurwesen - Geoinformation.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/377_29.05.2023 Wirtschaftsingenieurwesen (Bau).pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/28_02-05-2023 Maschinenbau.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/427_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/552_13.06.2023 Wirtschaftsingenieurwesen_weiterbildender Studiengang.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/538_12.06.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Elektrotechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/952_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023b_modulhandbuch_wi_ener.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/215_16-05-2023 Wirtschaftsingenieur Maschinenbau.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/267_21.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/947_07.07.2023 Wirtschaftsingenieurwesen Bautechnik und -management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/275_21.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/108_09-05-2023 Integrated Design Engineering.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/189_15-05-2023 Vertriebsingenieur in.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/128_10-05-2023 Logistikmanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/213_ 16-05-2023 Wirtschaftsingenieur Logistik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/94_08-05-2023 Industrial Engineering B.Sc..pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Wirtschaftsingenieurwesen/464_06.06.2023 Wirtschaftsingenieurwesen - Immobilien.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/6_27-04-2023 Ingenieurwissenschaften_Major.pdf,scanned,,0.6,assessment;content;credits_workload,3
./PDF-files/Wirtschaftsingenieurwesen/527_12.06.2023 Wirtschaftsingenieurwesen - Produktion und Logistik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/1_27.04.2023 Bauwirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/412_01.06.2023 Wirtschaftsingenieurwesen dual ausbildungsintegrierend.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/153_11-05-2023 Produktion und Prozessmanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/301_23.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023d_modulhandbuch_wi_dig.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023a_modulhandbuch_wi_prod.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/549_13.06.2023 Wirtschaftsingenieurwesen Umweltplanung.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/292_23.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/569_14.06.2023_Engineering_and_Management.pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Wirtschaftsingenieurwesen/195_15-05-2023 Wirtschaftsinformatik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/494_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/463_06.06.2023 Wirtschaftsingenieurwesen_Immobilien.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
