filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Wirtschaftsingenieurwesen/456_06.06.2023 Wirtschaftsingenieurwesen für Elektro- und Informationstechnik.pdf,456_06.06.2023 Wirtschaftsingenieurwesen für Elektro- und Informationstechnik.pdf,23,,False,
./PDF-files/Wirtschaftsingenieurwesen/337_ 25.05.2023 Wirtschaftsingenieurwesen.pdf,337_ 25.05.2023 Wirtschaftsingenieurwesen.pdf,314,,False,
./PDF-files/Wirtschaftsingenieurwesen/265_21.05.2023 Wirtschaftsingenieurwesen.pdf,265_21.05.2023 Wirtschaftsingenieurwesen.pdf,226,,False,
./PDF-files/Wirtschaftsingenieurwesen/88_08-05-2023 Global Foresight and Technology Management.pdf,88_08-05-2023 Global Foresight and Technology Management.pdf,41,,False,
./PDF-files/Wirtschaftsingenieurwesen/568_14.06.2023 Engineering and Management.pdf,568_14.06.2023 Engineering and Management.pdf,61,,False,
./PDF-files/Wirtschaftsingenieurwesen/174_12-05-2023 TECHNICAL CONSULTING UND MANAGEMENT.pdf,174_12-05-2023 TECHNICAL CONSULTING UND MANAGEMENT.pdf,37,,False,
./PDF-files/Wirtschaftsingenieurwesen/156_11-05-2023 Qualitätsingenieurwesen.pdf,156_11-05-2023 Qualitätsingenieurwesen.pdf,90,,False,
./PDF-files/Wirtschaftsingenieurwesen/314_24.05.2023 Wirtschaftsingenieurwesen.pdf,314_24.05.2023 Wirtschaftsingenieurwesen.pdf,277,,False,
./PDF-files/Wirtschaftsingenieurwesen/428_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,428_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,83,,False,
./PDF-files/Wirtschaftsingenieurwesen/225_17.05.2023 Wirtschaftsingenieurwesen.pdf,225_17.05.2023 Wirtschaftsingenieurwesen.pdf,117,,False,
./PDF-files/Wirtschaftsingenieurwesen/525_12.06.2023 Wirtschaftsingenieurwesen Produktionstechnik.pdf,525_12.06.2023 Wirtschaftsingenieurwesen Produktionstechnik.pdf,122,,False,
./PDF-files/Wirtschaftsingenieurwesen/105_09-05-2023 Ingenieurwissenschaften.pdf,105_09-05-2023 Ingenieurwissenschaften.pdf,241,,False,
./PDF-files/Wirtschaftsingenieurwesen/369_27.05.2023 Wirtschaftsingenieurwesen.pdf,369_27.05.2023 Wirtschaftsingenieurwesen.pdf,140,,False,
./PDF-files/Wirtschaftsingenieurwesen/207_16-05-2023 Energie und Umweltressourcen.pdf,207_16-05-2023 Energie und Umweltressourcen.pdf,23,,False,
./PDF-files/Wirtschaftsingenieurwesen/398_01.06.2023 Wirtschaftsingenieurwesen (Bocholt).pdf,398_01.06.2023 Wirtschaftsingenieurwesen (Bocholt).pdf,31,,False,
./PDF-files/Wirtschaftsingenieurwesen/141_11-05-2023 Mechatronik - Schwerpunkt Digitale.pdf,141_11-05-2023 Mechatronik - Schwerpunkt Digitale.pdf,130,,False,
./PDF-files/Wirtschaftsingenieurwesen/420_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,420_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,38,,False,
./PDF-files/Wirtschaftsingenieurwesen/129_10-05-2023 Management and Engineering.pdf,129_10-05-2023 Management and Engineering.pdf,30,,False,
./PDF-files/Wirtschaftsingenieurwesen/7_30-04-2025 Energiewissenschaften.pdf,7_30-04-2025 Energiewissenschaften.pdf,156,,False,
./PDF-files/Wirtschaftsingenieurwesen/133_10-05-2023 Management für Ingenieur- und Naturwissenschaften.pdf,133_10-05-2023 Management für Ingenieur- und Naturwissenschaften.pdf,39,,False,
./PDF-files/Wirtschaftsingenieurwesen/178_15-05-2023 Technischer Vertrieb.pdf,178_15-05-2023 Technischer Vertrieb.pdf,55,,False,
./PDF-files/Wirtschaftsingenieurwesen/166_12-05-2023 Sustainable Engineering and Management.pdf,166_12-05-2023 Sustainable Engineering and Management.pdf,31,,False,
./PDF-files/Wirtschaftsingenieurwesen/69_05-05-2023 Applied Research in Engineering Sciences.pdf,69_05-05-2023 Applied Research in Engineering Sciences.pdf,73,,False,
./PDF-files/Wirtschaftsingenieurwesen/22_02-05-2023 International Project Engineering.pdf,22_02-05-2023 International Project Engineering.pdf,23,,False,
